contrast,ratio,SE,df,null,z.ratio,p.value,fold_change,modelest_cpc_1,modelest_cpc_2,term,target,counts_1,propnz_1,ncells_1,counts_2,propnz_2,ncells_2,padj,log2fc,sig_level
Within30micronTumor / Within30um16StumorHigh,0.455269949,0.029046602,Inf,1,-12.33314194,6.01E-35,0.455269949,3.233454018,7.102278612,tumor16SProximity_v3,A1BG,4186,0.699099099,2220,6122,0.820930233,430,1.24E-31,-1.135205862,P-adjust < 0.001
Within30micronTumor / Within30um16StumorHigh,2.740683926,0.876451374,Inf,1,3.152688403,0.001617744,2.740683926,0.099954844,0.036470767,tumor16SProximity_v3,A2M,251,0.078828829,2220,13,0.025581395,430,0.0775263,1.454535956,P < 0.05
Within30micronTumor / Within30um16StumorHigh,1.481101422,0.380725739,Inf,1,1.528018375,0.126507976,1.481101422,0.070474982,0.04758282,tumor16SProximity_v3,AAAS,174,0.06981982,2220,18,0.041860465,430,0.563609909,0.566670436,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,2.590782336,1.556286474,Inf,1,1.584747352,0.113023749,2.590782336,0.020671311,0.007978791,tumor16SProximity_v3,AAK1,51,0.022072072,2220,3,0.006976744,430,0.55074472,1.373387813,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.930984159,0.178700199,Inf,1,-0.372565257,0.709472035,0.930984159,0.08393582,0.090158162,tumor16SProximity_v3,AAMP,207,0.082882883,2220,34,0.069767442,430,0.924695845,-0.103171475,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.530314985,0.3146244,Inf,1,2.06947905,0.038501155,1.530314985,0.111964948,0.073164642,tumor16SProximity_v3,AARS1,280,0.108108108,2220,28,0.060465116,430,0.376961684,0.613828633,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.318162965,0.387950779,Inf,1,0.938593597,0.347939441,1.318162965,0.048992806,0.037167488,tumor16SProximity_v3,AASS,118,0.048648649,2220,14,0.030232558,430,0.75469359,0.398528742,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.527943266,0.116208534,Inf,1,-2.901959398,0.003708366,0.527943266,0.045673493,0.086512123,tumor16SProximity_v3,AATK,110,0.045045045,2220,33,0.072093023,430,0.123253326,-0.921545191,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.771022054,0.179142419,Inf,1,-1.119194813,0.263057038,0.771022054,0.047159286,0.061164639,tumor16SProximity_v3,ABAT,117,0.050900901,2220,23,0.053488372,430,0.704600783,-0.375155969,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.8489007,0.971587291,Inf,1,1.169548219,0.242182826,1.8489007,0.02000313,0.010818931,tumor16SProximity_v3,ABCA1,49,0.021171171,2220,4,0.009302326,430,0.683628426,0.886667743,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.720555098,0.164663171,Inf,1,-1.434139558,0.151532441,0.720555098,0.04988638,0.069233262,tumor16SProximity_v3,ABCA2,124,0.04954955,2220,26,0.058139535,430,0.594482143,-0.472819342,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.682737601,0.607953568,Inf,1,1.44046141,0.1497369,1.682737601,0.041066424,0.024404532,tumor16SProximity_v3,ABCA5,100,0.040540541,2220,9,0.020930233,430,0.593000332,0.750810226,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.050881686,0.149158521,Inf,1,0.349659847,0.726593991,1.050881686,0.208375829,0.198286669,tumor16SProximity_v3,ABCB1,534,0.168018018,2220,82,0.127906977,430,0.932961915,0.071600251,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.839328422,0.169353532,Inf,1,-0.868072021,0.385354907,0.839328422,0.077361837,0.092171116,tumor16SProximity_v3,ABCB10,192,0.072072072,2220,35,0.06744186,430,0.769045856,-0.25269266,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.345979157,0.486969622,Inf,1,0.82124153,0.411508705,1.345979157,0.031392143,0.023322905,tumor16SProximity_v3,ABCB7,80,0.033783784,2220,9,0.020930233,430,0.782363699,0.42865607,NS or |log2FC| < 1
