Tumor	TaxID	Taxa Name	Other Sample	Tumor Total Genome Length	Other Sample Genome Match	Percent of Length Matching	Average percent identity of Length Matching	Total Mismatches	Total Gaps
BTM-T-289	2382163	Streptococcus koreensis	GBM-BM-457-SL-PreOp	301	149	0.495016611	0.98658	2	0
BTM-T-289	2382163	Streptococcus koreensis	GBM-BM-284-SL	301	151	0.50166113	0.98013	3	0
BTM-T-289	2382163	Streptococcus koreensis	01-2020-056_SL	301	300	0.996677741	0.986665567	4	0
BTM-T-289	46124	Granulicatella adiacens	GBM-BM-423-SL-PreOp	151	150	0.993377483	0.97333	4	0
BTM-T-289	46124	Granulicatella adiacens	GBM-BM-260-SL	151	151	1	0.99338	1	0
BTM-T-289	46124	Granulicatella adiacens	GBM-BM-379-SL	151	151	1	0.98013	3	0
BTM-T-289	46124	Granulicatella adiacens	01-2020-056_SL	151	151	1	1	0	0
BTM-T-289	46124	Granulicatella adiacens	GBM-BM-284-SL	151	151	1	0.98675	2	0
BTM-T-289	46124	Granulicatella adiacens	GBM-BM-394-SL	151	150	0.993377483	0.97333	4	0
BTM-T-289	46124	Granulicatella adiacens	01-2020-041_SL	151	151	1	0.97351	4	0
BTM-T-289	46124	Granulicatella adiacens	GBM-BM-382-SL-PreOp	151	151	1	0.99338	1	0
BTM-T-289	46124	Granulicatella adiacens	GBM-BM-396-SL	151	151	1	0.97351	4	0
BTM-T-289	46124	Granulicatella adiacens	02-2020-043_SL	151	150	0.993377483	0.98	3	0
BTM-T-289	46124	Granulicatella adiacens	01-2020-044_SL	151	151	1	0.97351	4	0
BTM-T-289	46124	Granulicatella adiacens	GBM-BM-346-SL	151	151	1	0.98013	3	0
BTM-T-289	46124	Granulicatella adiacens	GBM-BM-464-SL-PreOp	151	150	0.993377483	0.98	3	0
BTM-T-289	46124	Granulicatella adiacens	GBM-BM-418-SL	151	151	1	0.97351	4	0
BTM-T-289	46124	Granulicatella adiacens	01-2020-043_SL	151	151	1	0.98675	2	0
BTM-T-289	46124	Granulicatella adiacens	01-2020-016_SL	151	151	1	0.98013	3	0
BTM-T-289	1871109	Neisseria sp. RH3002v2g	GBM-BM-257-SL	151	151	1	1	0	0
BTM-T-289	1871109	Neisseria sp. RH3002v2g	GBM-BM-462-SL-PreOp	151	151	1	0.98013	3	0
BTM-T-289	28129	Prevotella denticola	GBM-BM-382-SL-PreOp	302	149	0.493377483	0.97987	3	0
BTM-T-289	28129	Prevotella denticola	GBM-BM-284-SL	302	144	0.476821192	0.99306	1	0
BTM-T-289	28129	Prevotella denticola	GBM-BM-299-SL	302	301	0.996688742	0.990036146	3	0
BTM-T-289	28129	Prevotella denticola	GBM-BM-423-SL-PreOp	302	299	0.990066225	0.989966288	3	0
BTM-T-289	28129	Prevotella denticola	01-2020-046_SL	302	146	0.483443709	0.9726	4	0
BTM-T-289	28129	Prevotella denticola	GBM-BM-346-SL	302	301	0.996688742	0.996679003	1	0
BTM-T-289	28129	Prevotella denticola	01-2020-049_SL	302	301	0.996688742	1	0	0
BTM-T-289	28129	Prevotella denticola	GBM-BM-430-SL	302	301	0.996688742	0.993355083	2	0
BTM-T-289	28129	Prevotella denticola	GBM-BM-462-SL-PreOp	302	300	0.993377483	0.99	3	0
BTM-T-289	28129	Prevotella denticola	GBM-BM-396-SL	302	301	0.996688742	0.99335299	2	0
BTM-T-289	1177574	Prevotella jejuni	GBM-BM-396-SL	112	112	1	0.97321	3	0
BTM-T-289	1177574	Prevotella jejuni	GBM-BM-430-SL	112	112	1	0.97321	3	0
BTM-T-289	1177574	Prevotella jejuni	GBM-BM-462-SL-PreOp	112	112	1	0.97321	3	0
BTM-T-289	1177574	Prevotella jejuni	GBM-BM-346-SL	112	112	1	0.97321	3	0
BTM-T-289	1177574	Prevotella jejuni	GBM-BM-464-SL-PreOp	112	112	1	0.98214	2	0
BTM-T-289	1177574	Prevotella jejuni	01-2020-056_SL	112	112	1	0.99107	1	0
BTM-T-289	1177574	Prevotella jejuni	GBM-BM-307-SL	112	112	1	0.99107	1	0
BTM-T-289	1177574	Prevotella jejuni	GBM-BM-382-SL-PreOp	112	112	1	0.97321	3	0
BTM-T-289	1177574	Prevotella jejuni	GBM-BM-Kit-275-SL	112	112	1	0.99107	1	0
BTM-T-289	1177574	Prevotella jejuni	GBM-BM-418-SL	112	112	1	0.98214	2	0
BTM-T-289	1177574	Prevotella jejuni	GBM-BM-458-SL-PreOp	112	112	1	0.98214	2	0
BTM-T-289	1177574	Prevotella jejuni	01-2020-049_SL	112	112	1	0.99107	1	0
BTM-T-289	1177574	Prevotella jejuni	01-2020-016_SL	112	112	1	0.99107	1	0
BTM-T-289	1177574	Prevotella jejuni	02-2020-59-SL	112	112	1	0.99107	1	0
BTM-T-289	1177574	Prevotella jejuni	GBM-BM-457-SL-PreOp	112	112	1	0.99107	1	0
BTM-T-289	1177574	Prevotella jejuni	GBM-BM-299-SL	112	112	1	0.99107	1	0
BTM-T-012	851	Fusobacterium nucleatum	GBM-BM-423-SL-PreOp	124	124	1	0.97581	3	0
BTM-T-012	851	Fusobacterium nucleatum	GBM-BM-457-SL-PreOp	124	124	1	0.97581	3	0
BTM-T-012	851	Fusobacterium nucleatum	GBM-BM-299-SL	124	124	1	0.97581	3	0
BTM-T-012	851	Fusobacterium nucleatum	01-2020-041_SL	124	124	1	0.97581	3	0
BTM-T-012	851	Fusobacterium nucleatum	GBM-BM-462-SL-PreOp	124	124	1	0.97581	3	0
BTM-T-012	851	Fusobacterium nucleatum	01-2020-016_SL	124	124	1	0.97581	3	0
BTM-T-012	851	Fusobacterium nucleatum	GBM-BM-464-SL-PreOp	124	124	1	0.97581	3	0
T-073	851	Fusobacterium nucleatum	GBM-BM-423-SL-PreOp	908	301	0.331497797	0.983387076	5	0
T-073	851	Fusobacterium nucleatum	01-2020-046_SL	908	143	0.157488987	0.99301	1	0
T-073	851	Fusobacterium nucleatum	GBM-BM-299-SL	908	266	0.292951542	0.988722707	3	0
T-073	851	Fusobacterium nucleatum	GBM-BM-382-SL-PreOp	908	150	0.165198238	0.98667	2	0
T-073	851	Fusobacterium nucleatum	GBM-BM-396-SL	908	199	0.219162996	1	0	0
T-073	851	Fusobacterium nucleatum	GBM-BM-418-SL	908	149	0.164096916	1	0	0
T-073	851	Fusobacterium nucleatum	GBM-BM-462-SL-PreOp	908	792	0.872246696	0.992424003	6	0
T-073	851	Fusobacterium nucleatum	GBM-BM-430-SL	908	266	0.292951542	0.988722707	3	0
T-073	851	Fusobacterium nucleatum	GBM-BM-464-SL-PreOp	908	558	0.614537445	0.996418351	2	0
T-073	851	Fusobacterium nucleatum	01-2020-016_SL	908	150	0.165198238	1	0	0
BTM-T-343	2682455	Veillonella sp. S12025-13	GBM-BM-260-SL	151	151	1	0.98675	2	0
BTM-T-343	2682455	Veillonella sp. S12025-13	01-2020-056_SL	151	151	1	1	0	0
BTM-T-343	2682455	Veillonella sp. S12025-13	GBM-BM-423-SL-PreOp	151	151	1	0.98013	3	0
BTM-T-343	2682455	Veillonella sp. S12025-13	01-2020-046_SL	151	151	1	0.98675	2	0
BTM-T-343	2682455	Veillonella sp. S12025-13	GBM-BM-293-SL	151	151	1	0.98675	2	0
BTM-T-343	2682455	Veillonella sp. S12025-13	01-2020-041_SL	151	151	1	0.98013	3	0
BTM-T-343	2682455	Veillonella sp. S12025-13	GBM-BM-284-SL	151	151	1	0.98013	3	0
BTM-T-343	2682455	Veillonella sp. S12025-13	GBM-BM-396-SL	151	151	1	0.98013	3	0
